,Movie Name,Movie Rating,Genres,Release,Runtime,Director,Movie Link
684,The Courier,71.0,"Animation, Romance, Comedy, Drama, Fantasy
",        06/21/2019       ,1h 34m,Masaaki Yuasa,https://www.themoviedb.org/movie/522241
685,Rampage,64.0,"Comedy
",        04/12/2013       ,1h 26m,Malcolm D. Lee,https://www.themoviedb.org/movie/427641
686,Jack Reacher,66.0,"Family, Animation, Action, Adventure, Comedy
",        07/01/2022       ,1h 27m,Kyle Balda,https://www.themoviedb.org/movie/75780
687,Saint Seiya Heaven Chapter: Overture,77.0,"Action, Fantasy, Thriller
",        02/17/2012       ,1h 36m,Mark Neveldine,https://www.themoviedb.org/movie/50253
688,The New Mutants,62.0,"Documentary
",        05/03/2022       ,1h 23m,Michael John Warren,https://www.themoviedb.org/movie/340102
689,Fantasia,74.0,"Fantasy, Adventure, Action, Family, Romance
",        07/04/2014       ,1h 37m,Robert Stromberg,https://www.themoviedb.org/movie/756
690,Exorcismo Documentado,70,"Crime, Action, Science Fiction
",        03/06/2015       ,2h,Neill Blomkamp,https://www.themoviedb.org/movie/366799
691,Garota da Moto,53.0,"Music, Animation
",        10/22/2021       ,1h 32m,Rodrigo Perez-Castro,https://www.themoviedb.org/movie/876262
692,Baby Driver,75.0,"Action, Adventure, Comedy
",        12/24/2021       ,2h 38m,Basil Joseph,https://www.themoviedb.org/movie/339403
693,Plan A,59.0,"Animation, Drama, Adventure, Fantasy
",        11/15/2019       ,1h 15m,Gints Zilbalodis,https://www.themoviedb.org/movie/714968
694,Ride Your Wave,75.0,"Thriller, TV Movie, Drama
",        07/08/2021       ,1h 26m,Gordon Yang,https://www.themoviedb.org/movie/530079
695,Scary Movie 5,48.0,"Horror, Romance
",        02/12/2021       ,1h 24m,Clara Aranovich,https://www.themoviedb.org/movie/4258
696,Minions: The Rise of Gru,0,"Animation, Family, Fantasy
",        07/20/2001       ,2h 5m,Hayao Miyazaki,https://www.themoviedb.org/movie/438148
697,Ghost Rider: Spirit of Vengeance,50,"Crime, Comedy, Science Fiction
",        06/18/2021       ,1h 44m,Piotr Mularuk,https://www.themoviedb.org/movie/71676
698,Female Doctor: Flesh Slave,20,"Action, Thriller, Science Fiction
",        12/04/2020       ,2h 30m,Christopher Nolan,https://www.themoviedb.org/movie/405869
699,Spring Awakening: Those You've Known,55.0,"Comedy
",        09/15/2016       ,1h 40m,Nacho G. Velilla,https://www.themoviedb.org/movie/959130
700,Maleficent,71.0,"Family, Animation, Comedy
",        08/06/2010       ,1h 35m,Pierre Coffin,https://www.themoviedb.org/movie/102651
701,Chappie,68.0,"Family, Animation, Adventure, Comedy
",        08/12/2005       ,1h 26m,Eric Darnell,https://www.themoviedb.org/movie/198184
702,Koati,74.0,"Drama, Documentary
",        03/22/2018       ,1h 30m,Joel Antonio Colón,https://www.themoviedb.org/movie/554594
703,Minnal Murali,72.0,"Action, Thriller, Drama
",        11/06/2009       ,1h 50m,Daniel Monzón,https://www.themoviedb.org/movie/657644
704,Away,64.0,"War, Action
",        01/16/2015       ,2h 13m,Clint Eastwood,https://www.themoviedb.org/movie/597398
705,Next-Door Nightmare,62.0,"Science Fiction, Action, Adventure
",        07/24/2015       ,1h 57m,Peyton Reed,https://www.themoviedb.org/movie/854442
706,Tentacles,63.0,"Animation, Action, Fantasy
",        02/12/2021       ,1h 56m,Zhao Ji,https://www.themoviedb.org/movie/786300
707,Avatar: Creating the World of Pandora,67.0,"Animation, Family, Comedy
",        09/28/2004       ,1h 25m,William Lau,https://www.themoviedb.org/movie/111332
708,Spirited Away,85.0,"Action, Horror, Comedy
",        03/17/2021       ,1h 28m,Kevin Lewis,https://www.themoviedb.org/movie/129
709,In for a Murder,56.0,"Horror, Thriller
",        02/24/2017       ,1h 57m,M. Night Shyamalan,https://www.themoviedb.org/movie/846167
710,Tenet,72.0,"Drama
",        11/21/1985       ,1h 31m,Sylvester Stallone,https://www.themoviedb.org/movie/577922
711,No Manches Frida,78.0,"Science Fiction
",        03/05/2021       ,1h 49m,Doug Liman,https://www.themoviedb.org/movie/375794
712,Despicable Me,72.0,"Drama, History
",        02/24/2017       ,2h 7m,Theodore Melfi,https://www.themoviedb.org/movie/20352
713,Madagascar,69.0,"Mystery, Thriller, Horror
",        07/02/2021       ,1h 55m,Kim Tae-hyoung,https://www.themoviedb.org/movie/953
714,Héctor El Father: Conocerás la verdad,76.0,"Action, Adventure, Science Fiction, Thriller
",        03/20/2015       ,1h 59m,Robert Schwentke,https://www.themoviedb.org/movie/511679
715,Cell 211,75.0,"Horror
",        09/03/2021       ,1h 31m,Nia DaCosta,https://www.themoviedb.org/movie/33273
716,American Sniper,74.0,"Action, Fantasy, Science Fiction, Adventure
",        03/28/2018       ,1h 51m,Steven S. DeKnight,https://www.themoviedb.org/movie/190859
717,Ant-Man,71.0,"Action, Comedy, Mystery, Crime
",        06/17/2016       ,1h 47m,Rawson Marshall Thurber,https://www.themoviedb.org/movie/102899
718,New Gods: Nezha Reborn,82.0,"Romance, Drama
",        09/10/2010       ,1h 29m,Rob Reiner,https://www.themoviedb.org/movie/663558
719,Barbie as The Princess & the Pauper,75.0,"Crime
",        10/27/2021       ,1h 47m,Juuso Syrjä,https://www.themoviedb.org/movie/15165
720,Willy's Wonderland,62.0,"Adventure, Action, Thriller, Science Fiction
",        06/17/2011       ,1h 54m,Martin Campbell,https://www.themoviedb.org/movie/643586
721,Split,73.0,"Animation, Comedy, Family, Adventure
",        10/03/2021       ,1h 25m,David Silverman,https://www.themoviedb.org/movie/381288
722,Rocky IV,70,"Romance, Drama
",        06/24/2021       ,1h 44m,Christoffer Boe,https://www.themoviedb.org/movie/1374
723,Chaos Walking,67.0,"Documentary
",        03/03/2022       ,1h 18m,Renée Godfrey,https://www.themoviedb.org/movie/412656
724,Hidden Figures,81.0,"Action, Thriller
",        04/23/2021       ,1h 22m,Brad Turner,https://www.themoviedb.org/movie/381284
725,The 8th Night,61.0,"Family, Animation, Adventure, Comedy, TV Movie
",        06/30/2020       ,1h 9m,Daniel Chong,https://www.themoviedb.org/movie/604360
726,Insurgent,64.0,"Comedy, Drama, Romance
",        08/07/2009       ,1h 35m,Marc Webb,https://www.themoviedb.org/movie/262500
727,Candyman,62.0,"Comedy, Romance
",        02/11/2011       ,1h 57m,Dennis Dugan,https://www.themoviedb.org/movie/565028
728,Pacific Rim: Uprising,61.0,"Drama, War
",        02/17/2022       ,14m,Ashley Eakin,https://www.themoviedb.org/movie/268896
729,Central Intelligence,64.0,"Crime, Thriller
",        11/20/2015       ,2h 12m,Brian Helgeland,https://www.themoviedb.org/movie/302699
730,Flipped,79.0,"Animation, Comedy, Family
",        11/05/2004       ,1h 20m,Peter Hewitt,https://www.themoviedb.org/movie/43949
731,Bordertown: The Mural Murders,67.0,"Adventure, Animation, Family, Comedy, Science Fiction
",        07/22/2016       ,1h 35m,Mike Thurmeier,https://www.themoviedb.org/movie/716810
732,Green Lantern,52.0,"Action, Horror, Thriller
",        07/01/2016       ,1h 45m,"James DeMonacoCharacters, ",https://www.themoviedb.org/movie/44912
733,Extinct,64.0,"Animation, Drama, Romance, Family
",        09/01/2018       ,1h 48m,Shinichiro Ushijima,https://www.themoviedb.org/movie/664236
734,A Taste of Hunger,57.0,"Family, Animation, Fantasy
",        09/13/2011       ,1h 19m,Ezekiel Norton,https://www.themoviedb.org/movie/766105
735,Surviving Paradise: A Family Tale,65.0,"Horror, Thriller, Action
",        10/20/2021       ,1h 47m,Adam Randall,https://www.themoviedb.org/movie/936625
736,Trigger Point,64.0,"Crime, Drama, Action, Thriller, Science Fiction
",        03/20/2010       ,1h 32m,Dwight H. Little,https://www.themoviedb.org/movie/809314
737,We Bare Bears: The Movie,79.0,"Animation, Family
",        02/23/1940       ,1h 28m,Jack Kinney,https://www.themoviedb.org/movie/677638
738,(500) Days of Summer,73.0,"Horror, Action, Thriller
",        07/04/2018       ,1h 37m,Gerard McMurray,https://www.themoviedb.org/movie/19913
739,Just Go with It,66.0,"Animation, Action, Fantasy, Adventure
",        05/10/2019       ,1h 22m,Tetsuro Araki,https://www.themoviedb.org/movie/50546
740,Forgive Us Our Trespasses,64.0,"Action, Adventure, Crime
",        01/13/2017       ,1h 47m,D. J. Caruso,https://www.themoviedb.org/movie/929436
741,Legend,70,"Comedy, Thriller, Drama
",        01/31/2020       ,2h 13m,Bong Joon-ho,https://www.themoviedb.org/movie/276907
742,Garfield,56.0,"Fantasy, Horror, Action
",        01/25/2013       ,1h 28m,Tommy Wirkola,https://www.themoviedb.org/movie/8920
743,Ice Age: Collision Course,61.0,"Drama, Thriller, War
",        12/02/2009       ,1h 44m,Jim Sheridan,https://www.themoviedb.org/movie/278154
744,Porno,43.0,"Action, Adventure, Science Fiction
",        11/20/2015       ,2h 17m,Francis Lawrence,https://www.themoviedb.org/movie/197158
745,The Purge: Election Year,64.0,"Fantasy, Adventure, Family, Drama
",        09/29/2016       ,2h 7m,Tim Burton,https://www.themoviedb.org/movie/316727
746,I Want to Eat Your Pancreas,83.0,"Action
",        09/10/2021       ,1h 46m,Cedric Nicolas-Troyan,https://www.themoviedb.org/movie/504253
747,Barbie: Princess Charm School,74.0,"Action, Adventure, Fantasy
",        06/02/2017       ,2h 21m,Patty Jenkins,https://www.themoviedb.org/movie/73456
748,Night Teeth,66.0,"Animation, Action, Adventure, Fantasy
",        08/16/2019       ,1h 38m,Shi Juansheng,https://www.themoviedb.org/movie/669671
749,Tekken,54.0,"Horror, Mystery, Thriller
",        03/05/2021       ,1h 30m,Jacob Johnston,https://www.themoviedb.org/movie/42194
750,Pinocchio,71.0,"Animation, Fantasy, Family
",        07/19/2008       ,1h 40m,Hayao Miyazaki,https://www.themoviedb.org/movie/10895
751,The First Purge,60,"Comedy
",        08/21/2001       ,10m,Rodrigo Bellott,https://www.themoviedb.org/movie/442249
752,Kabaneri of the Iron Fortress: The Battle of Unato,71.0,"Animation, Family, Adventure
",        03/21/2019       ,1h 44m,Dean DeBlois,https://www.themoviedb.org/movie/567006
753,xXx: Return of Xander Cage,59.0,"Family, Animation, Science Fiction, Comedy
",        10/01/2021       ,45m,Ken Cunningham,https://www.themoviedb.org/movie/47971
754,Parasite,85.0,"Horror, Thriller
",        03/13/2020       ,1h 42m,Bartosz M. Kowalski,https://www.themoviedb.org/movie/496243
755,Hansel & Gretel: Witch Hunters,60,"Animation, Family, Science Fiction
",        08/29/2008       ,1h 38m,Andrew Stanton,https://www.themoviedb.org/movie/60304
756,Brothers,71.0,"Family, Fantasy, Comedy
",        11/12/2021       ,Not Define,Fernando Colomo,https://www.themoviedb.org/movie/7445
757,The Hunger Games: Mockingjay - Part 2,69.0,"Adventure, Action, Comedy, Romance
",        12/17/2007       ,1h 33m,David Leland,https://www.themoviedb.org/movie/131634
758,Miss Peregrine's Home for Peculiar Children,68.0,"Comedy, Family
",        12/17/2021       ,1h 43m,Dani de la Orden,https://www.themoviedb.org/movie/283366
759,Kate,67.0,"Thriller, Drama, Crime
",        11/19/2021       ,1h 44m,Ram Madhvani,https://www.themoviedb.org/movie/597891
760,Wonder Woman,72.0,"Action, Thriller, Crime
",        07/20/2018       ,2h 1m,Antoine Fuqua,https://www.themoviedb.org/movie/297762
761,The King's Avatar: For the Glory,69.0,"Science Fiction, Action, Thriller, Adventure
",        09/18/2015       ,2h 11m,Wes Ball,https://www.themoviedb.org/movie/613200
762,Dreamcatcher,62.0,"Drama, Crime
",        11/24/2021       ,1h 52m,Nora Fingscheidt,https://www.themoviedb.org/movie/793002
763,Ponyo,77.0,"Animation, Adventure, Comedy, Family, Action, Fantasy
",        06/22/2012       ,1h 33m,Mark Andrews,https://www.themoviedb.org/movie/12429
764,Sexo,55.0,"Horror
",        08/29/2003       ,1h 44m,"Victor SalvaCharacters, ",https://www.themoviedb.org/movie/766680
765,How to Train Your Dragon: The Hidden World,78.0,"Drama, Fantasy, Action
",        12/20/2017       ,2h 19m,Kim Yong-hwa,https://www.themoviedb.org/movie/166428
766,LEGO Star Wars Terrifying Tales,69.0,"Horror
",        03/26/2021       ,1h 27m,Justin P. Lange,https://www.themoviedb.org/movie/857702
767,Nobody Sleeps in the Woods Tonight,51.0,"Fantasy, Animation, Adventure
",        11/19/2004       ,1h 59m,Hayao Miyazaki,https://www.themoviedb.org/movie/681019
768,WALL·E,81.0,"Action, Animation, Adventure, Comedy
",        07/23/2016       ,2h,Hiroaki Miyamoto,https://www.themoviedb.org/movie/10681
769,Cuidado con lo que deseas,46.0,"Action, Adventure, Fantasy, Science Fiction
",        07/08/2005       ,1h 46m,Tim Story,https://www.themoviedb.org/movie/893164
770,Virgin Territory,45.0,"Fantasy, Action, Horror
",        01/19/2012       ,1h 28m,Måns Mårlind,https://www.themoviedb.org/movie/14324
771,Mamá o papá,75.0,"Drama, Crime
",        10/14/1994       ,2h 22m,Frank Darabont,https://www.themoviedb.org/movie/755437
772,Dhamaka,73.0,"Action, Thriller, Science Fiction
",        08/31/2010       ,1h 33m,Gordon Chan,https://www.themoviedb.org/movie/767377
773,The Equalizer 2,66.0,"Comedy, Horror
",        01/11/2013       ,1h 26m,Michael Tiddes,https://www.themoviedb.org/movie/345887
774,Maze Runner: The Scorch Trials,67.0,"Family, Animation, Adventure, Comedy
",        11/26/2014       ,1h 32m,Simon J. Smith,https://www.themoviedb.org/movie/294254
775,The Unforgivable,75.0,"Action, Thriller, Science Fiction
",        03/14/2008       ,1h 48m,Neil Marshall,https://www.themoviedb.org/movie/645886
776,Brave,70,"Adventure, Family, Fantasy
",        05/16/2008       ,2h 30m,Andrew Adamson,https://www.themoviedb.org/movie/62177
777,Jeepers Creepers 2,61.0,"Animation, Drama, Romance, Fantasy
",        06/18/2020       ,1h 44m,Tomotaka Shibayama,https://www.themoviedb.org/movie/11351
778,Along with the Gods: The Two Worlds,81.0,"Action, Comedy, Science Fiction
",        05/25/2012       ,1h 46m,Barry Sonnenfeld,https://www.themoviedb.org/movie/397567
779,The Seventh Day,55.0,"Horror
",        01/12/2021       ,1h 33m,Adrian Langley,https://www.themoviedb.org/movie/645856
780,Howl's Moving Castle,84.0,"Documentary
",        10/27/2004       ,58m,Timothy Greenfield-Sanders,https://www.themoviedb.org/movie/4935
781,One Piece Film: GOLD,72.0,"Comedy
",        12/25/2021       ,1h 37m,Rodrigo Triana,https://www.themoviedb.org/movie/374205
782,Fantastic Four,58.0,"Animation, Family
",        06/21/2013       ,1h 44m,Dan Scanlon,https://www.themoviedb.org/movie/9738
783,Underworld: Awakening,63.0,"Comedy, Adventure, Fantasy, Animation, Family
",        05/16/2010       ,1h 33m,Mike Mitchell,https://www.themoviedb.org/movie/52520
784,The Shawshank Redemption,87.0,"Horror, Thriller
",        10/23/2012       ,1h 31m,Declan O'Brien,https://www.themoviedb.org/movie/278
785,The King of Fighters,52.0,"Action, Comedy, Thriller, Horror
",        07/30/2021       ,1h 55m,Tommy Wirkola,https://www.themoviedb.org/movie/44571
786,A Haunted House,58.0,"Horror, Comedy
",        11/21/2019       ,1h 34m,Karl Holt,https://www.themoviedb.org/movie/139038
787,Penguins of Madagascar,65.0,"Adventure, Fantasy, Action
",        05/27/2010       ,1h 56m,Mike Newell,https://www.themoviedb.org/movie/270946
788,Doomsday,59.0,"Horror, Mystery, Family
",        10/05/2021       ,31m,Ben Simms,https://www.themoviedb.org/movie/13460
789,The Chronicles of Narnia: Prince Caspian,66.0,"Action, Thriller, Drama
",        09/20/2019       ,1h 29m,Adrian Grünberg,https://www.themoviedb.org/movie/2454
790,A Whisker Away,80,"Horror
",        09/21/2020       ,1h 33m,Derrick Granado,https://www.themoviedb.org/movie/667520
791,Men in Black 3,65.0,"Action, Fantasy, Family, Comedy
",        12/25/2020       ,1h 37m,Robert Rodriguez,https://www.themoviedb.org/movie/41154
792,Butchers,49.0,"Crime, Action, Comedy
",        01/24/2020       ,1h 53m,Guy Ritchie,https://www.themoviedb.org/movie/720026
793,Thinking XXX,51.0,"Thriller, Mystery
",        05/15/2009       ,2h 18m,Ron Howard,https://www.themoviedb.org/movie/24593
794,El Paseo 6,31.0,"Adventure, Fantasy, Action, Thriller
",        06/15/2007       ,1h 32m,Tim Story,https://www.themoviedb.org/movie/920143
795,Monsters University,70,"Action, Thriller, Crime
",        09/23/2011       ,2h 9m,Marc Forster,https://www.themoviedb.org/movie/62211
796,Shrek Forever After,63.0,"Adventure, Animation, Comedy, Family
",        01/25/1961       ,1h 19m,Clyde Geronimi,https://www.themoviedb.org/movie/10192
797,Wrong Turn 5: Bloodlines,53.0,"Action, Adventure, Comedy, Fantasy, Romance, Animation
",        02/15/2019       ,1h 22m,Katsushi Sakurabi,https://www.themoviedb.org/movie/125509
798,The Trip,67.0,"Documentary, Music
",        11/15/2018       ,1h 25m,Park Jun-soo,https://www.themoviedb.org/movie/760747
799,Benny Loves You,63.0,"Science Fiction, Action, Adventure, Thriller
",        02/09/2018       ,2h 23m,Wes Ball,https://www.themoviedb.org/movie/647302
800,Prince of Persia: The Sands of Time,62.0,"Horror
",        04/23/2021       ,1h 22m,Amelia Moses,https://www.themoviedb.org/movie/9543
801,Escape the Undertaker,53.0,"Action, Adventure, Science Fiction, Fantasy
",        06/21/2017       ,2h 35m,Michael Bay,https://www.themoviedb.org/movie/871875
802,Rambo: Last Blood,65.0,"Horror, Thriller, Mystery
",        06/26/2019       ,1h 46m,"Gary DaubermanCharacters, ",https://www.themoviedb.org/movie/522938
803,The Scientist,64.0,"Drama, Fantasy, Science Fiction
",        02/05/2021       ,2h 16m,Jo Sung-hee,https://www.themoviedb.org/movie/715658
804,We Can Be Heroes,62.0,"Action, Drama
",        07/10/2015       ,2h 38m,S.S. Rajamouli,https://www.themoviedb.org/movie/615677
805,The Gentlemen,77.0,"Comedy, Romance
",        01/21/2011       ,1h 47m,Ivan Reitman,https://www.themoviedb.org/movie/522627
806,Angels & Demons,67.0,"Action, Adventure, Drama
",        04/23/2021       ,2h 18m,Keishi Ōtomo,https://www.themoviedb.org/movie/13448
807,Fantastic Four: Rise of the Silver Surfer,56.0,"Action, Fantasy, Thriller
",        03/25/2011       ,1h 50m,Zack Snyder,https://www.themoviedb.org/movie/1979
808,Machine Gun Preacher,67.0,"Comedy, Romance
",        01/05/2022       ,1h 44m,Alessio Maria Federici,https://www.themoviedb.org/movie/45610
809,One Hundred and One Dalmatians,72.0,"Animation, Adventure, Comedy, Family
",        08/04/2006       ,1h 57m,John Lasseter,https://www.themoviedb.org/movie/12230
810,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,78.0,"Romance, Fantasy, Comedy
",        05/18/2021       ,1h 30m,Park Hee-kon,https://www.themoviedb.org/movie/553835
811,Burn the Stage: The Movie,87.0,"Horror, Thriller
",        05/30/2003       ,1h 24m,Rob Schmidt,https://www.themoviedb.org/movie/553512
812,Maze Runner: The Death Cure,71.0,"Comedy, Drama, Thriller
",        07/26/2019       ,2h 42m,Quentin Tarantino,https://www.themoviedb.org/movie/336843
813,Bloodthirsty,54.0,"Action, Adventure, Science Fiction
",        07/13/2018       ,1h 59m,Peyton Reed,https://www.themoviedb.org/movie/741636
814,Transformers: The Last Knight,61.0,"Crime, Comedy, Action, Adventure
",        01/29/2015       ,2h 9m,Matthew Vaughn,https://www.themoviedb.org/movie/335988
815,Annabelle Comes Home,64.0,"Animation, Drama, Family
",        08/21/1942       ,1h 10m,David Hand,https://www.themoviedb.org/movie/521029
816,Space Sweepers,71.0,"Animation, Family, Adventure, Fantasy, Romance
",        11/25/1992       ,1h 30m,John Musker,https://www.themoviedb.org/movie/581389
817,Bāhubali: The Beginning,75.0,"Adventure, Action, Science Fiction
",        04/18/1997       ,2h 1m,George Lucas,https://www.themoviedb.org/movie/256040
818,No Strings Attached,63.0,"Family, Animation, Adventure
",        10/18/1967       ,1h 18m,Wolfgang Reitherman,https://www.themoviedb.org/movie/41630
819,Rurouni Kenshin: The Final,79.0,"Comedy, Horror
",        10/08/2009       ,1h 28m,Ruben Fleischer,https://www.themoviedb.org/movie/602063
820,Sucker Punch,61.0,"Action, Animation, Fantasy
",        03/29/2019       ,1h 45m,Haruo Sotozaki,https://www.themoviedb.org/movie/23629
821,Four to Dinner,62.0,"Comedy
",        12/17/2021       ,1h 52m,Niyi Akinmolayan,https://www.themoviedb.org/movie/832277
822,Cars,69.0,"Family, Comedy
",        04/03/1997       ,1h 43m,Stephen Herek,https://www.themoviedb.org/movie/920
823,Catman,75.0,"Action, Science Fiction
",        07/25/2014       ,1h 29m,Luc Besson,https://www.themoviedb.org/movie/740658
824,Wrong Turn,63.0,"Animation, Family
",        10/31/1941       ,1h 4m,Samuel Armstrong,https://www.themoviedb.org/movie/9902
825,Once Upon a Time… in Hollywood,74.0,"Mystery, Thriller
",        02/24/2014       ,1h 40m,Stephen Sommers,https://www.themoviedb.org/movie/466272
826,Ant-Man and the Wasp,70,"Action, Thriller, Romance
",        12/10/2010       ,1h 43m,Florian Henckel von Donnersmarck,https://www.themoviedb.org/movie/363088
827,Kingsman: The Secret Service,76.0,"Action, Science Fiction, Horror, TV Movie
",        08/10/2018       ,1h 30m,James Thomas,https://www.themoviedb.org/movie/207703
828,Bambi,70,"Animation, Action
",        10/13/2020       ,31m,Brandon Vietti,https://www.themoviedb.org/movie/3170
829,Aladdin,76.0,"Mystery, Horror
",        07/16/2021       ,1h 54m,Leigh Janiak,https://www.themoviedb.org/movie/812
830,Star Wars,82.0,"Horror, Mystery, Thriller
",        10/21/2014       ,1h 30m,Adam Robitel,https://www.themoviedb.org/movie/11
831,The Jungle Book,73.0,"Animation, Comedy, Family
",        12/03/2021       ,30m,Steve Cox,https://www.themoviedb.org/movie/9325
832,Zombieland,73.0,"Action, Adventure, Western
",        07/03/2013       ,2h 29m,Gore Verbinski,https://www.themoviedb.org/movie/19908
833,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,86.0,"Adventure, Fantasy, Drama, Romance
",        11/20/2009       ,2h 11m,Chris Weitz,https://www.themoviedb.org/movie/820232
834,Chief Daddy 2: Going for Broke,57.0,"Comedy, Drama, Family, Fantasy, Science Fiction
",        03/07/2008       ,1h 26m,Stephen Chow,https://www.themoviedb.org/movie/922017
835,101 Dalmatians,59.0,"Action, Thriller
",        10/24/2014       ,1h 41m,Chad Stahelski,https://www.themoviedb.org/movie/11674
836,Lucy,64.0,"Action, Adventure, Fantasy
",        08/05/2016       ,2h 3m,David Ayer,https://www.themoviedb.org/movie/240832
837,Dumbo,70,"Thriller, Drama, Horror
",        10/27/2021       ,1h 29m,Suzanne Coote,https://www.themoviedb.org/movie/11360
838,Odd Thomas,69.0,"Drama, Crime
",        03/14/1972       ,2h 55m,Francis Ford Coppola,https://www.themoviedb.org/movie/179826
839,The Tourist,62.0,"Comedy, Horror
",        04/18/2014       ,1h 27m,Michael Tiddes,https://www.themoviedb.org/movie/37710
840,Megalodon,57.0,"Fantasy, Action, Adventure, Animation, Comedy, Family
",        06/13/2014       ,1h 42m,Dean DeBlois,https://www.themoviedb.org/movie/523931
841,Batman: Death in the Family,73.0,"Horror, Fantasy
",        09/08/2017       ,2h 15m,Andy Muschietti,https://www.themoviedb.org/movie/618353
842,Fear Street: 1666,73.0,"Adventure, Action, Science Fiction
",        12/17/2010       ,2h 5m,Joseph Kosinski,https://www.themoviedb.org/movie/591275
843,The Taking of Deborah Logan,64.0,"Adventure, Drama, Action
",        12/05/2014       ,2h 30m,Ridley Scott,https://www.themoviedb.org/movie/297608
844,Shaun the Sheep: The Flight Before Christmas,70,"Animation, Fantasy, Romance, Drama
",        02/24/2018       ,1h 55m,Mari Okada,https://www.themoviedb.org/movie/785545
845,The Lone Ranger,61.0,"Family, Animation
",        05/19/2000       ,1h 22m,Ralph Zondag,https://www.themoviedb.org/movie/57201
846,The Twilight Saga: New Moon,60,"Animation, Action, Comedy
",        06/30/2021       ,1h 38m,Matt Thompson,https://www.themoviedb.org/movie/18239
847,CJ7,72.0,"Adventure, Animation, Family
",        11/01/2003       ,1h 25m,Aaron Blaise,https://www.themoviedb.org/movie/13688
848,John Wick,74.0,"Action, Thriller, Crime, Drama
",        08/26/2011       ,1h 48m,Olivier Megaton,https://www.themoviedb.org/movie/245891
849,Suicide Squad,59.0,"Romance, Comedy
",        08/27/2021       ,1h 31m,Mark Waters,https://www.themoviedb.org/movie/297761
850,Hypnotic,61.0,"Thriller, Crime
",        02/19/2021       ,1h 51m,John Swab,https://www.themoviedb.org/movie/864873
851,The Godfather,87.0,"Science Fiction, Drama, Thriller
",        02/03/2012       ,1h 24m,Josh Trank,https://www.themoviedb.org/movie/238
852,A Haunted House 2,61.0,"Action, Crime, Thriller
",        04/11/2006       ,1h 33m,Isaac Florentine,https://www.themoviedb.org/movie/184345
853,How to Train Your Dragon 2,77.0,"Comedy, Horror, Thriller
",        08/21/2019       ,1h 35m,Matt Bettinelli-Olpin,https://www.themoviedb.org/movie/82702
854,It,72.0,"Action, Crime, Thriller
",        04/16/2021       ,1h 36m,George Gallo,https://www.themoviedb.org/movie/346364
855,TRON: Legacy,64.0,"Drama, Horror, Science Fiction, Thriller
",        05/26/2021       ,1h 57m,Paween Purijitpanya,https://www.themoviedb.org/movie/20526
856,Exodus: Gods and Kings,58.0,"Family, Fantasy, Comedy
",        12/06/2021       ,1h 46m,Michał Rogalski,https://www.themoviedb.org/movie/147441
857,Maquia: When the Promised Flower Blooms,83.0,"Animation, Mystery, Action, Crime
",        06/22/2021       ,1h 25m,Chris Palmer,https://www.themoviedb.org/movie/476292
858,"Moses, Prince of Egypt",55.0,"Action, Crime, Thriller
",        08/28/2015       ,1h 36m,Aleksander Bach,https://www.themoviedb.org/movie/118365
859,Dinosaur,65.0,"Action, Adventure, Science Fiction, Fantasy
",        12/18/2015       ,2h 16m,J.J. Abrams,https://www.themoviedb.org/movie/10567
860,Jackie Chan Kung Fu Master,43.0,"Animation, Action, Drama, Science Fiction
",        10/05/2019       ,1h 26m,Keisuke Shinohara,https://www.themoviedb.org/movie/45682
861,America: The Motion Picture,58.0,"Drama, Family, Comedy
",        06/18/2021       ,1h 49m,Paul Weitz,https://www.themoviedb.org/movie/739542
862,Brother Bear,72.0,"Comedy, Drama
",        03/04/2022       ,1h 49m,Marco S. Puccioni,https://www.themoviedb.org/movie/10009
863,Colombiana,66.0,"Horror, Thriller
",        09/13/2010       ,1h 43m,James Wan,https://www.themoviedb.org/movie/62835
864,He's All That,68.0,"Comedy
",        09/15/2021       ,1h 40m,Nicolas Cuche,https://www.themoviedb.org/movie/347626
865,Body Brokers,65.0,"Horror, Mystery
",        01/31/2003       ,1h 30m,David R. Ellis,https://www.themoviedb.org/movie/656940
866,Chronicle,68.0,"Science Fiction, Horror, Thriller
",        06/06/2013       ,1h 26m,James DeMonaco,https://www.themoviedb.org/movie/76726
867,Undisputed II: Last Man Standing,73.0,"Comedy
",        04/17/2009       ,1h 42m,Burr Steers,https://www.themoviedb.org/movie/15255
868,Ready or Not,70,"Drama, Science Fiction, Thriller
",        12/14/2007       ,1h 41m,Francis Lawrence,https://www.themoviedb.org/movie/567609
869,Vanquish,57.0,"Action, Adventure, Science Fiction
",        11/01/2019       ,2h 8m,Tim Miller,https://www.themoviedb.org/movie/804435
870,Ghost Lab,65.0,"Family, Fantasy, Romance
",        03/17/2017       ,2h 9m,Bill Condon,https://www.themoviedb.org/movie/710871
871,David and the Elves,61.0,"Drama, Crime
",        11/20/2009       ,2h 2m,Werner Herzog,https://www.themoviedb.org/movie/882093
872,"Batman: The Long Halloween, Part One",78.0,"Horror, Thriller
",        10/17/2011       ,1h 33m,Declan O'Brien,https://www.themoviedb.org/movie/736073
873,Hitman: Agent 47,58.0,"Action, Animation, Science Fiction
",        03/19/1991       ,52m,Mitsuo Hashimoto,https://www.themoviedb.org/movie/249070
