,Movie Name,Movie Rating,Genres,Release,Runtime,Director,Movie Link
42,Shang-Chi and the Legend of the Ten Rings,77.0,"Action, Adventure, Fantasy, Science Fiction
",        09/03/2021       ,2h 12m,Destin Daniel Cretton,https://www.themoviedb.org/movie/566525
43,Avatar,75.0,"Action, Adventure, Fantasy, Science Fiction
",        08/27/2010       ,2h 42m,James Cameron,https://www.themoviedb.org/movie/19995
44,Redeeming Love,76.0,"Drama, History, Romance
",        01/21/2022       ,2h 14m,D. J. Caruso,https://www.themoviedb.org/movie/698508
45,The Requin,47.0,"Thriller
",        01/28/2022       ,1h 29m,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114
46,Gold,64.0,"Thriller, Action
",        01/13/2022       ,1h 37m,Anthony Hayes,https://www.themoviedb.org/movie/760926
47,Sonic the Hedgehog,74.0,"Action, Science Fiction, Comedy, Family
",        02/14/2020       ,1h 39m,Jeff Fowler,https://www.themoviedb.org/movie/454626
48,Scream,68.0,"Horror, Mystery, Thriller
",        01/14/2022       ,1h 54m,Matt Bettinelli-Olpin,https://www.themoviedb.org/movie/646385
49,The King's Man,69.0,"Action, Adventure, Thriller, War, Mystery
",        01/14/2022       ,2h 11m,Matthew Vaughn,https://www.themoviedb.org/movie/476669
50,Resident Evil: Welcome to Raccoon City,62.0,"Horror, Action, Science Fiction
",        11/26/2021       ,1h 47m,Johannes Roberts,https://www.themoviedb.org/movie/460458
51,The Seven Deadly Sins: Cursed by Light,79.0,"Animation, Fantasy
",        07/02/2021       ,1h 19m,Takayuki Hamana,https://www.themoviedb.org/movie/843241
52,Last Man Down,63.0,"Action, Thriller
",        10/19/2021       ,1h 27m,Fansu Njie,https://www.themoviedb.org/movie/860623
53,Kimi,62.0,"Thriller
",        02/10/2022       ,1h 29m,Steven Soderbergh,https://www.themoviedb.org/movie/800510
54,Ghostbusters: Afterlife,77.0,"Fantasy, Comedy, Adventure
",        11/11/2021       ,2h 4m,Jason Reitman,https://www.themoviedb.org/movie/425909
55,Pirates of the Caribbean: On Stranger Tides,65.0,"Adventure, Action, Fantasy
",        05/20/2011       ,2h 17m,Rob Marshall,https://www.themoviedb.org/movie/1865
56,Dr. Strange,62.0,"TV Movie, Action, Adventure, Fantasy, Science Fiction
",        09/06/1978       ,1h 33m,Philip DeGuere Jr.,https://www.themoviedb.org/movie/50468
57,Texas Chainsaw Massacre,51.0,"Horror, Thriller
",        02/18/2022       ,1h 23m,David Blue Garcia,https://www.themoviedb.org/movie/632727
58,The Northman,77.0,"Action, Adventure, Fantasy, Drama
",        04/22/2022       ,2h 17m,Robert Eggers,https://www.themoviedb.org/movie/639933
59,Restless,60,"Action, Thriller, Crime
",        02/25/2022       ,1h 35m,Régis Blondeau,https://www.themoviedb.org/movie/928381
60,The In Between,71.0,"Romance, Science Fiction, Drama
",        02/11/2022       ,1h 56m,Arie Posin,https://www.themoviedb.org/movie/818750
61,Pirates of the Caribbean: Dead Man's Chest,73.0,"Adventure, Fantasy, Action
",        07/07/2006       ,2h 31m,Gore Verbinski,https://www.themoviedb.org/movie/58
62,Tom and Jerry: Cowboy Up!,70,"Animation, Comedy, Family, Western
",        01/25/2022       ,1h 15m,Darrell Van Citters,https://www.themoviedb.org/movie/892153
63,The Boss Baby: Family Business,76.0,"Animation, Comedy, Adventure, Family
",        07/02/2021       ,1h 47m,Tom McGrath,https://www.themoviedb.org/movie/459151
64,The Matrix Resurrections,67.0,"Science Fiction, Action, Adventure
",        12/22/2021       ,2h 28m,"Lana WachowskiCharacters, ",https://www.themoviedb.org/movie/624860
65,The Commando,66.0,"Action, Crime, Thriller
",        01/07/2022       ,1h 33m,Asif Akbar,https://www.themoviedb.org/movie/753232
66,Clifford the Big Red Dog,73.0,"Family, Adventure, Comedy, Fantasy
",        11/10/2021       ,1h 37m,Walt Becker,https://www.themoviedb.org/movie/585245
67,Pirates of the Caribbean: At World's End,72.0,"Adventure, Fantasy, Action
",        05/19/2007       ,2h 49m,Gore Verbinski,https://www.themoviedb.org/movie/285
